Name,Genre,Platform,Publisher,Global_Sales
Bank Heist,Action,2600,20th Century Fox Video Games,0.34
RealSports Tennis,Sports,2600,Atari,0.5
Popeye,Platform,2600,Parker Bros.,0.54
Joust,Platform,2600,Atari,1.08
Mario Bros.,Platform,2600,Atari,1.59
Gravitar,Action,2600,Atari,0.38
Polaris,Action,2600,Tigervision,0.28
Pole Position,Racing,2600,Atari,1.18
Mr. Do!,Action,2600,Coleco,0.27
Galaxian,Shooter,2600,Atari,0.77
Keystone Kapers,Action,2600,Activision,0.66
Assault,Action,2600,Bomb,0.22
Porky's,Action,2600,20th Century Fox Video Games,0.25
Kangaroo,Platform,2600,Atari,0.72
Death Trap,Action,2600,Avalon Interactive,0.17
Yars' Revenge,Shooter,2600,Atari,0.78
Halloween,Action,2600,Wizard Video Games,0.62
Q*bert,Puzzle,2600,Parker Bros.,0.58
X-Man,Action,2600,Universal Gamex,0.63
Battlezone,Shooter,2600,Atari,0.62
Crystal Castles,Action,2600,Atari,0.77
Frogger II: Threeedeep!,Action,2600,Parker Bros.,0.33
Baseball,Sports,NES,Nintendo,3.2
Jr. Pac-Man,Puzzle,2600,Atari,0.78
Frostbite,Action,2600,Activision,0.34
Mario Bros.,Platform,NES,Nintendo,2.28
Midnight Magic,Action,2600,Atari,0.5
Popeye,Platform,NES,Nintendo,1.1
Pitfall II: Lost Caverns,Platform,2600,Activision,1.31
Donkey Kong Jr.,Platform,NES,Nintendo,1.11
Donkey Kong,Platform,NES,Nintendo,1.13
Pengo,Adventure,2600,Atari,0.4
Mahjong,Misc,NES,Nintendo,2.14
Gremlins,Action,2600,Atari,0.46
Dolphin,Action,2600,Activision,0.29
Mr. Do!'s Castle,Action,2600,Parker Bros.,0.17
Millipede,Shooter,2600,Atari,0.48
Hogan's Alley,Shooter,NES,Nintendo,1.27
Tennis,Sports,NES,Nintendo,2.17
4 Nin uchi Mahjong,Misc,NES,Nintendo,1.45
F1 Race,Racing,NES,Nintendo,1.52
Xevious,Shooter,NES,Namco Bandai Games,1.52
Duck Hunt,Shooter,NES,Nintendo,28.31
Beamrider,Racing,2600,Activision,0.27
Excitebike,Racing,NES,Nintendo,4.16
Mappy,Platform,NES,Namco Bandai Games,0.69
Lode Runner,Puzzle,NES,Hudson Soft,1.1
Pac-Man,Puzzle,NES,Namco Bandai Games,1.22
Pinball,Action,NES,Nintendo,1.85
Clu Clu Land,Puzzle,NES,Nintendo,0.82
Golf,Sports,NES,Nintendo,4.01
Dig Dug,Puzzle,NES,Namco Bandai Games,0.41
Kung Fu,Action,NES,Nintendo,3.5
Tag Team Match M.U.S.C.L.E.,Fighting,NES,Namco Bandai Games,1.05
Super Mario Bros.,Platform,NES,Nintendo,40.24
Gyromite,Puzzle,NES,Nintendo,1.32
Bomberman,Puzzle,NES,Hudson Soft,1.03
Ghostbusters,Puzzle,2600,Activision,0.45
Soccer,Sports,NES,Nintendo,1.96
1942,Shooter,NES,Capcom,1.0
Ice Climber,Platform,NES,Nintendo,1.5
Balloon Fight,Platform,NES,Nintendo,0.92
Wrecking Crew,Platform,NES,Nintendo,0.51
Dragon Warrior,Role-Playing,NES,Capcom,2.52
Adventure Island,Platform,NES,Hudson Soft,1.05
The Mysterious Murasame Castle,Action,NES,Nintendo,0.57
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,Platform,NES,Hudson Soft,1.5
Solaris,Shooter,2600,Atari,0.37
TwinBee,Shooter,NES,Konami Digital Entertainment,1.2
Super Mario Bros.: The Lost Levels,Platform,NES,Nintendo,2.65
Star Soldier,Shooter,NES,Hudson Soft,0.96
Rad Racer,Racing,NES,Nintendo,1.96
Gradius,Shooter,NES,Konami Digital Entertainment,1.36
Doraemon,Action,NES,Hudson Soft,1.15
Ghosts 'n Goblins,Action,NES,Capcom,1.64
Castlevania,Platform,NES,Konami Digital Entertainment,1.23
RealSports Boxing,Sports,2600,Atari,0.29
World Class Track Meet,Sports,NES,Namco Bandai Games,3.08
Pro Yakyuu Family Stadium,Sports,NES,Namco Bandai Games,2.2
The Legend of Zelda,Action,NES,Nintendo,6.51
Commando,Action,NES,Capcom,1.14
Ganbare Goemon! Karakuri Douchuu,Platform,NES,Konami Digital Entertainment,1.2
Kid Icarus,Platform,NES,Nintendo,1.76
Metroid,Action,NES,Nintendo,2.73
Pro Wrestling,Fighting,NES,Nintendo,2.4
Volleyball,Sports,NES,Nintendo,2.15
Desert Falcon,Shooter,2600,Atari,0.26
Mega Man,Platform,NES,Capcom,0.81
Dragon Warrior II,Role-Playing,NES,Enix Corporation,2.56
Castlevania II: Simon's Quest,Platform,NES,Konami Digital Entertainment,0.93
Zelda II: The Adventure of Link,Adventure,NES,Nintendo,4.38
Mike Tyson's Punch-Out!!,Fighting,NES,Nintendo,3.02
Final Fantasy,Role-Playing,NES,SquareSoft,0.84
Kung-Fu Master,Action,2600,Activision,0.65
Defender II,Shooter,2600,Atari,0.45
Pro Yakyuu Family Stadium '87,Sports,NES,Namco Bandai Games,1.42
Commando,Action,2600,Activision,0.47
Gegege no Kitarou 2: Youkai Gundan no Chousen,Role-Playing,NES,Namco Bandai Games,1.25
Disney's DuckTales,Platform,GB,Capcom,1.43
R.C. Pro-Am,Racing,NES,Nintendo,2.14
Tetris,Puzzle,NES,Nintendo,5.58
Super Mario Bros. 2,Platform,NES,Nintendo,7.46
Pro Yakyuu Family Stadium '88,Sports,NES,Namco Bandai Games,1.18
Ice Hockey,Sports,NES,Nintendo,2.42
Dragon Ball: Daimaou Fukkatsu,Role-Playing,NES,Namco Bandai Games,1.25
Mega Man 2,Action,NES,Capcom,1.51
Rampage,Action,2600,Activision,0.24
Dragon Warrior III,Role-Playing,NES,Enix Corporation,3.87
Super Mario Bros. 3,Platform,NES,Nintendo,17.28
Final Fantasy II,Role-Playing,NES,SquareSoft,0.76
River Raid II,Shooter,2600,Activision,0.51
Donkey Kong Classics,Platform,NES,Nintendo,1.56
Tennis,Sports,GB,Nintendo,1.99
Super Mario Land,Platform,GB,Nintendo,18.14
Tetris,Puzzle,GB,Nintendo,30.26
Dr. Mario,Puzzle,GB,Nintendo,5.34
Golf,Sports,GB,Nintendo,2.12
Castlevania III: Dracula's Curse,Platform,NES,Konami Digital Entertainment,0.85
Alleyway,Puzzle,GB,Nintendo,1.94
Yakuman,Misc,GB,Nintendo,1.28
Double Dragon,Action,2600,Activision,0.47
Baseball,Sports,GB,Nintendo,1.61
SolarStriker,Shooter,GB,Nintendo,1.2
Teenage Mutant Ninja Turtles,Action,NES,Palcom,4.17
The Final Fantasy Legend,Role-Playing,GB,SquareSoft,1.1
Klax,Puzzle,2600,Atari,0.15
Famicom Jump: Eiyuu Retsuden,Role-Playing,NES,Namco Bandai Games,1.1
Disney's DuckTales,Platform,NES,Capcom,1.67
Teenage Mutant Ninja Turtles II: The Arcade Game,Action,NES,Konami Digital Entertainment,2.23
F-1 Race,Racing,GB,Nintendo,3.41
Dr. Mario,Puzzle,NES,Nintendo,4.85
Mega Man 3,Platform,NES,Capcom,1.17
Famista '91,Sports,NES,Namco Bandai Games,0.3
Disney's Chip 'n Dale: Rescue Rangers,Platform,NES,Capcom,1.19
Qix,Puzzle,GB,Nintendo,1.15
Streets of Rage,Action,GEN,Sega,2.6
Dragon Warrior IV,Role-Playing,NES,Enix Corporation,3.12
Final Fight,Action,SNES,Capcom,1.56
Nintendo World Cup,Sports,NES,Nintendo,1.48
Super Mario World,Platform,SNES,Nintendo,20.61
F-Zero,Racing,SNES,Nintendo,2.85
Final Fantasy III,Role-Playing,NES,SquareSoft,1.4
Pilotwings,Simulation,SNES,Nintendo,1.14
Extra Bases,Sports,GB,Namco Bandai Games,0.33
Super Scope 6,Shooter,SNES,Nintendo,1.65
Super Castlevania IV,Platform,SNES,Konami Digital Entertainment,0.63
Battle Dodge Ball,Sports,SNES,Banpresto,0.33
NES Open Tournament Golf,Sports,NES,Nintendo,1.0
Kidou Senshi Gundam F91: Formula Senki 0122,Strategy,SNES,Namco Bandai Games,0.33
Mega Man 4,Platform,NES,Capcom,0.93
Tetris 2 + Bombliss,Puzzle,NES,BPS,0.32
Super Ghouls 'n Ghosts,Platform,SNES,Capcom,1.18
Final Fantasy Legend III,Role-Playing,GB,SquareSoft,0.76
GameBoy Wars,Strategy,GB,Nintendo,0.18
Battle Commander: Hachibushu Shura no Heihou,Strategy,SNES,Banpresto,0.18
Super Baseball Simulator 1.000,Sports,SNES,Culture Brain,0.2
SimCity,Simulation,SNES,Nintendo,1.98
Super Wagyan Land,Action,SNES,Namco Bandai Games,0.42
Teenage Mutant Ninja Turtles III: The Manhattan Project,Action,NES,Konami Digital Entertainment,1.39
Lord of Darkness,Action,SNES,Tecmo Koei,0.28
Mega Man II,Platform,GB,Nintendo,0.28
Famista '92,Sports,NES,Namco Bandai Games,0.28
Mega Man: Dr. Wily's Revenge,Platform,GB,Nintendo,0.28
Bomberman II,Puzzle,NES,Hudson Soft,0.44
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,Role-Playing,SNES,Angel Studios,0.29
SimEarth: The Living Planet,Simulation,SNES,Imagineer,0.16
The Legend of the Mystical Ninja,Adventure,SNES,Konami Digital Entertainment,0.48
Romance of the Three Kingdoms II,Strategy,SNES,Tecmo Koei,0.25
Final Fantasy II,Role-Playing,SNES,Square,1.77
Metroid II: Return of Samus,Adventure,GB,Nintendo,1.76
World League Soccer,Sports,SNES,Imagineer,0.15
Yoshi,Puzzle,NES,Nintendo,1.75
Sonic the Hedgehog,Platform,GEN,Sega,4.34
Yoshi,Puzzle,GB,Nintendo,0.73
Super R-Type,Shooter,SNES,Nintendo,0.23
Final Fantasy Adventure,Role-Playing,GB,SquareSoft,0.38
UN Squadron,Shooter,SNES,Capcom,0.12
The Legend of Zelda: A Link to the Past,Action,SNES,Nintendo,4.61
Super Soccer,Sports,SNES,Nintendo,0.38
Super Fire ProWrestling,Fighting,SNES,Human Entertainment,0.39
Super R.C. Pro-Am,Racing,GB,Nintendo,1.14
Kirby's Dream Land,Platform,GB,Nintendo,5.13
Gunstar Heroes,Shooter,GEN,Sega,0.13
Street Fighter II: The World Warrior,Fighting,SNES,Capcom,6.3
The Legend of Zelda: Link's Awakening,Action,GB,Nintendo,3.83
Dragon Quest V: Tenkuu no Hanayome,Role-Playing,SNES,Enix Corporation,2.79
Otogirisou,Adventure,SNES,ChunSoft,0.16
Romancing SaGa,Role-Playing,SNES,SquareSoft,0.97
Street Fighter II Turbo,Fighting,SNES,Capcom,4.1
Fatal Fury,Fighting,SNES,Takara,0.39
Final Fantasy V,Role-Playing,SNES,SquareSoft,2.45
Mega Man 5,Platform,NES,Capcom,0.79
Tetris 2 (All region sales),Puzzle,GB,Nintendo,1.24
Contra III: The Alien Wars,Shooter,SNES,Konami Digital Entertainment,0.13
Super Batter Up,Sports,SNES,Namco Bandai Games,0.46
Super Mario Land 2: 6 Golden Coins,Adventure,GB,Nintendo,11.18
SimCity 2000,Simulation,PC,Maxis,2.14
Yoshi's Cookie,Puzzle,NES,Nintendo,1.12
Kirby's Pinball Land,Misc,GB,Nintendo,2.19
Super Adventure Island,Platform,SNES,Hudson Soft,0.22
Battle Soccer: Field no Hasha,Sports,SNES,Banpresto,0.16
Romance of the Three Kingdoms III: Dragon of Destiny,Strategy,SNES,Tecmo Koei,0.29
Super Mario Kart,Racing,SNES,Nintendo,8.76
The 7th Guest,Adventure,PC,Virgin Interactive,0.78
Ecco the Dolphin,Adventure,GEN,Sega,0.12
Tetris 2 (weekly jp sales),Puzzle,GB,Nintendo,0.23
Mario Paint,Misc,SNES,Nintendo,2.75
Super Bomberman,Puzzle,SNES,Hudson Soft,0.57
Sonic the Hedgehog 2,Platform,GEN,Sega,6.03
Dragon Ball Z: Chou Saiya Densetsu,Role-Playing,SNES,Namco Bandai Games,0.58
F-1 Grand Prix,Racing,SNES,Video System,0.28
Mortal Kombat,Fighting,GEN,Arena Entertainment,2.67
Yoshi's Cookie,Puzzle,GB,Nintendo,1.68
F1 ROC: Race of Champions,Sports,SNES,Ocean,0.28
The Magical Quest starring Mickey Mouse,Platform,SNES,Capcom,1.21
NBA Jam,Sports,GEN,Arena Entertainment,2.05
Street Fighter II': Special Champion Edition,Fighting,GEN,Sega,1.66
Kirby's Adventure,Platform,NES,Nintendo,1.75
Nobunaga no Yabou: Haouden,Strategy,SNES,Tecmo Koei,0.62
Mega Man X,Platform,SNES,Capcom,1.16
Mega Man X2,Platform,SNES,Laguna,0.56
Disney's Aladdin,Platform,SNES,Capcom,1.75
Secret of Mana,Role-Playing,SNES,SquareSoft,1.83
Jurassic Park,Action,NES,Ocean,0.36
Super Power League,Sports,SNES,Hudson Soft,0.17
Sonic CD,Platform,SCD,Sega,1.5
Capcom's Soccer Shootout,Sports,SNES,Nintendo,0.8
Classic Road,Sports,SNES,Victor Interactive,0.11
Mortal Kombat II,Fighting,SNES,Acclaim Entertainment,1.93
Romancing SaGa 2,Role-Playing,SNES,SquareSoft,1.17
Mega Man 6,Platform,NES,Capcom,0.52
Yuu Yuu Hakusho,Fighting,SNES,Namco Bandai Games,0.36
Stunt Race FX,Racing,SNES,Nintendo,0.35
Crayon Shin-Chan: Arashi o Yobu Enji,Platform,SNES,Namco Bandai Games,0.46
Super Street Fighter II,Fighting,GEN,Capcom,0.15
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,Platform,SNES,Konami Digital Entertainment,0.31
Star Fox,Shooter,SNES,Nintendo,2.99
Dragon Quest I & II,Role-Playing,SNES,Enix Corporation,1.15
Sailor Moon,Action,SNES,Namco Bandai Games,0.22
Bishoujo Senshi Sailormoon R,Fighting,SNES,Namco Bandai Games,0.27
Mario & Wario,Puzzle,SNES,Nintendo,0.49
Ranma 1/2: Akanekodan Teki Hihou,Role-Playing,SNES,TOHO,0.11
Super Puyo Puyo,Puzzle,SNES,Banpresto,1.7
Mega Man Soccer,Sports,SNES,Capcom,0.18
Tetris 2,Puzzle,NES,Nintendo,0.98
Harukanaru Augusta 2: Masters,Sports,SNES,T&E Soft,0.12
Thoroughbred Breeder,Simulation,SNES,Hect,0.19
Jissen Pachi-Slot Hisshouhou,Misc,SNES,Sammy Corporation,0.19
Shining Force II,Strategy,GEN,Sega,0.19
Winning Post,Sports,SNES,Tecmo Koei,0.53
Fatal Fury 2,Fighting,SNES,Takara,0.45
Final Fight 2,Action,SNES,Capcom,1.02
Virtual Soccer,Sports,SNES,Hudson Soft,0.53
Dragon Ball Z,Fighting,SNES,Namco Bandai Games,1.45
Dragon Ball Z: Ultime Menace,Fighting,SNES,Namco Bandai Games,0.73
Illusion of Gaia,Role-Playing,SNES,Nintendo,0.13
J-League Soccer: Prime Goal,Sports,SNES,Namco Bandai Games,0.69
Torneko no Daibouken: Fushigi no Dungeon,Role-Playing,SNES,ChunSoft,0.78
Shin Momotarou Densetsu,Role-Playing,SNES,Hudson Soft,0.32
Dragon Ball Z: La Legende Saien,Fighting,SNES,Namco Bandai Games,1.2
Super Mario All-Stars,Platform,SNES,Nintendo,10.55
The King of Fighters '94 (CD),Fighting,NG,SNK,0.14
Super Street Fighter II,Fighting,SNES,Nintendo,2.0
Super Bomberman 2,Puzzle,SNES,Hudson Soft,0.81
Theme Park,Simulation,PS,Electronic Arts,0.57
SimCity 2000,Simulation,SAT,Sega,0.28
Mortal Kombat 3,Fighting,GEN,Acclaim Entertainment,1.34
Kamaitachi no Yoru,Adventure,SNES,ChunSoft,0.81
International Superstar Soccer,Sports,SNES,Konami Digital Entertainment,0.28
Shin Megami Tensei II,Role-Playing,SNES,Atlus,0.37
Jupiter Strike,Shooter,PS,Acclaim Entertainment,0.11
Warcraft: Orcs & Humans,Strategy,PC,Activision,2.08
Virtua Racing,Racing,GEN,Sega,0.26
EarthBound,Role-Playing,SNES,Nintendo,0.81
Doom,Shooter,PS,Infogrames,0.78
Wing Arms,Shooter,SAT,Sega,0.2
Thoroughbred Breeder II,Simulation,SNES,Hect,0.27
ThunderStrike 2,Simulation,PS,Core Design Ltd.,0.19
F1 Challenge,Racing,SAT,Sega,0.18
Donkey Kong,Platform,GB,Nintendo,3.07
Gokujou Parodius,Shooter,SNES,Konami Digital Entertainment,0.18
Space Invaders,Shooter,SNES,Taito,0.46
Wonder Project J: Kikai no Shonen Pino,Simulation,SNES,Enix Corporation,0.43
Kirby's Dream Course,Sports,SNES,Nintendo,0.59
Slam Dunk: Yonkyo Taiketsu!!,Sports,SNES,Namco Bandai Games,0.27
Ridge Racer,Racing,PS,Sony Computer Entertainment,0.79
Super Robot Taisen EX,Strategy,SNES,Banpresto,0.37
Zero4 Champ RR,Sports,SNES,Media Rings,0.36
Super Fire ProWrestling Special,Fighting,SNES,Human Entertainment,0.36
Super Formation Soccer 94,Sports,SNES,Human Entertainment,0.37
Star Wars: Dark Forces,Shooter,PC,LucasArts,1.95
NBA Jam,Sports,SNES,Acclaim Entertainment,1.39
Kileak: The DNA Imperative,Shooter,PS,Sony Computer Entertainment,0.37
Final Fantasy I & II,Role-Playing,NES,Square,0.11
Super Mario Land 3: Wario Land,Platform,GB,Nintendo,5.19
SD Gundam GX,Strategy,SNES,Namco Bandai Games,0.19
Donkey Kong Country,Platform,SNES,Nintendo,9.3
Live A Live,Role-Playing,SNES,SquareSoft,0.32
Fire Emblem: Monsh? no Nazo,Role-Playing,SNES,Nintendo,0.7
NHL FaceOff,Sports,PS,Sony Computer Entertainment,0.45
Samurai Shodown II,Fighting,NG,SNK,0.25
Monopoly,Misc,PC,Hasbro Interactive,2.39
J-League Soccer: Prime Goal 2,Sports,SNES,Namco Bandai Games,0.53
Super Famista 3,Sports,SNES,Namco Bandai Games,0.39
Super Momotarou Dentetsu III,Simulation,SNES,Hudson Soft,0.91
Myst,Adventure,PC,Red Orb,2.81
"Lunar 2: Eternal Blue(sales, but wrong system)",Role-Playing,GEN,Game Arts,0.14
A. IV Evolution: A Ressha de Ikou 4,Strategy,PS,ArtDink,0.25
Daytona USA,Racing,SAT,Sega,0.55
Super Metroid,Action,SNES,Nintendo,1.42
Virtua Fighter,Fighting,SAT,Sega,1.07
Donkey Kong Land,Platform,GB,Nintendo,3.91
Slayers,Role-Playing,SNES,Banpresto,0.12
Super Power League 2,Sports,SNES,Hudson Soft,0.33
Romance of the Three Kingdoms IV: Wall of Fire,Strategy,SNES,Tecmo Koei,0.53
Parodius,Shooter,PS,Konami Digital Entertainment,0.33
Battle Arena Toshinden Remix,Fighting,SAT,Sega,0.12
The King of Fighters '94,Fighting,NG,SNK,0.12
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,Fighting,SNES,Angel Studios,0.12
Samurai Shodown,Fighting,SNES,Takara,0.4
Jikkyou Powerful Pro Yakuu '94,Sports,SNES,Konami Digital Entertainment,0.41
Drift King Shutokou Battle '94,Racing,SNES,BPS,0.2
Doom II: Hell on Earth,Shooter,PC,Virgin Interactive,3.61
Shining Force CD,Strategy,SCD,Sega,0.14
Fatal Fury Special,Fighting,SNES,Takara,0.56
Primal Rage,Fighting,PS,Time Warner Interactive,0.11
Saturday Night Slam Masters,Fighting,SNES,Capcom,0.16
Galactic Attack,Shooter,SAT,Acclaim Entertainment,0.25
The King of Fighters '95 (CD),Fighting,NG,SNK,0.23
NBA Jam Tournament Edition,Sports,GEN,Acclaim Entertainment,1.11
Center Ring Boxing,Fighting,SAT,JVC,0.12
Final Fantasy III,Role-Playing,SNES,SquareSoft,3.42
Battle Arena Toshinden,Fighting,PS,Sony Computer Entertainment,1.27
Itadaki Street 2: Neon Sign wa Bara Iro ni,Misc,SNES,Enix Corporation,0.29
Disney's The Lion King,Platform,SNES,Virgin Interactive,1.79
Crime Crackers,Role-Playing,PS,Sony Computer Entertainment,0.1
Sonic & Knuckles,Platform,GEN,Sega,1.82
Daikaijyuu Monogatari,Role-Playing,SNES,Hudson Soft,0.3
Jikkyou Powerful Pro Yakyuu '95,Sports,PS,Konami Digital Entertainment,0.11
Mortal Kombat 3,Fighting,SNES,Acclaim Entertainment,1.53
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,Platform,SNES,Konami Digital Entertainment,0.36
ESPN Extreme Games,Sports,PS,Sony Computer Entertainment,0.38
Yuu Yuu Hakusho 2: Kakutou no Sho,Fighting,SNES,Namco Bandai Games,0.31
Breath of Fire II,Role-Playing,SNES,Laguna,0.36
Disney's The Lion King,Platform,GEN,Virgin Interactive,1.41
Samurai Spirits (CD),Fighting,NG,SNK,0.2
Sonic the Hedgehog 3,Platform,GEN,Sega,1.76
Decathlete,Sports,SAT,Sega,0.3
Derby Stallion II,Sports,SNES,ASCII Entertainment,0.87
Super Bomberman 3,Puzzle,SNES,Hudson Soft,0.7
The Raiden Project,Shooter,PS,Ocean,0.23
Kirby's Dream Land 2,Platform,GB,Nintendo,2.36
SD Gundam GNext,Strategy,SNES,Namco Bandai Games,0.2
The King of Fighters '95,Fighting,NG,SNK,0.2
Battle Arena Toshinden 2,Fighting,PS,Sony Computer Entertainment,0.71
Bust-A-Move 2 Arcade Edition,Puzzle,PS,Acclaim Entertainment,0.2
X-Men: Children of the Atom,Fighting,SAT,Acclaim Entertainment,0.21
Romancing SaGa 3,Role-Playing,SNES,SquareSoft,1.3
Tactics Ogre: Let Us Cling Together,Role-Playing,SNES,Quest,0.71
Virtua Fighter Kids,Fighting,SAT,Sega,0.23
Dragon Ball Z Hyper Dimension,Fighting,SNES,Namco Bandai Games,0.21
Road Rash,Racing,PS,Electronic Arts,1.27
Kanzen Chuuki Pro Yakyuu Greatest Nine,Sports,SAT,Sega,0.22
Chrono Trigger,Role-Playing,SNES,SquareSoft,2.31
Arc the Lad,Role-Playing,PS,Sony Computer Entertainment,1.11
Road & Track Presents: The Need for Speed,Racing,PS,Electronic Arts,1.0
Shellshock,Action,PS,Core Design Ltd.,0.1
High Velocity: Mountain Racing Challenge,Racing,SAT,Atlus,0.12
Detana TwinBee Yahho! Deluxe Pack,Shooter,SAT,Konami Digital Entertainment,0.13
World Cup Golf: Professional Edition,Sports,PS,U.S. Gold,0.13
Mystic Ark,Role-Playing,SNES,Enix Corporation,0.13
Namco Soccer Prime Goal,Sports,PS,Sony Computer Entertainment,0.13
Derby Stallion III,Sports,SNES,ASCII Entertainment,1.15
Disruptor,Shooter,PS,Interplay,0.13
Darius Gaiden,Shooter,SAT,Acclaim Entertainment,0.1
Romance of the Three Kingdoms IV: Wall of Fire,Strategy,PS,Tecmo Koei,0.13
Sentou Kokka Air Land Battle,Strategy,PS,Sony Computer Entertainment,0.13
Daytona USA Championship Circuit Edition,Racing,SAT,Sega,0.14
In the Hunt,Shooter,PS,THQ,0.14
Cyber Sled,Action,PS,Sony Computer Entertainment,0.14
Virtua Fighter CG Portrait Series Vol.4: Pai Chan,Misc,SAT,Sega,0.12
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,Fighting,PS,Atlus,0.1
Victory Zone,Misc,PS,Sony Computer Entertainment,0.11
Hyper Formation Soccer,Sports,PS,Human Entertainment,0.11
Carnage Heart,Strategy,PS,Sony Computer Entertainment,0.11
Virtual Hydlide,Role-Playing,SAT,Sega,0.11
Project: Horned Owl,Shooter,PS,Sony Computer Entertainment,0.11
Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,Misc,SAT,Sega,0.11
Ridge Racer Revolution,Racing,PS,Sony Computer Entertainment,1.07
Dragon Ball Z Super Gokuden: Kakusei-Hen,Role-Playing,SNES,Namco Bandai Games,0.11
NBA Jam Tournament Edition,Sports,SNES,Acclaim Entertainment,1.01
Nobunaga no Yabou: Tenshoki,Strategy,SAT,Tecmo Koei,0.11
Wizardry VI: Bane of the Cosmic Forge,Role-Playing,SNES,ASCII Entertainment,0.1
Sengoku Cyber: Fujimaru Jigokuhen,Strategy,PS,Sony Computer Entertainment,0.12
Revolution X,Shooter,PS,Acclaim Entertainment,0.1
Twisted Metal,Action,PS,Sony Computer Entertainment,1.56
D,Adventure,PS,Acclaim Entertainment,0.11
Doukyuusei,Adventure,TG16,NEC,0.14
Agile Warrior F-111X,Simulation,PS,Virgin Interactive,0.14
Epidemic,Shooter,PS,Sony Computer Entertainment,0.14
Off-World Interceptor Extreme,Racing,PS,Crystal Dynamics,0.17
Virtua Fighter 2,Fighting,SAT,Sega,1.93
Space Griffon VF-9,Role-Playing,PS,Panther Software,0.17
